Binomial	ID	year	popvalue
Alces_americanus	173	1989	212
Rangifer_tarandus	180	1989	74876
Alces_americanus	182	1989	127048
Rangifer_tarandus	788	1989	134
Rangifer_tarandus	789	1989	75384
Peromyscus_maniculatus	35	1990	257.5
Tamiasciurus_hudsonicus	36	1990	1.39
Myodes_gapperi	40	1990	17
Sorex_cinereus	44	1990	0
Napaeozapus_insignis	45	1990	2
Tamias_striatus	46	1990	69
Blarina_brevicauda	47	1990	91
Blarina_brevicauda	49	1990	9.5
Balaenoptera_physalus	87	1990	0.02
Megaptera_novaeangliae	88	1990	38.28
Balaenoptera_musculus	89	1990	21.03
Megaptera_novaeangliae	90	1990	0.01
Halichoerus_grypus	97	1990	54577
Balaenoptera_musculus	99	1990	0
Globicephala_melas	102	1990	0.02
Lagenorhynchus_acutus	103	1990	0.15
Delphinus_delphis	104	1990	0.05
Canis_lupus	105	1990	1.107
Canis_lupus	106	1990	1.838
Canis_lupus	107	1990	2.406
Canis_lupus	108	1990	0.676
Canis_lupus	109	1990	0.912
Canis_lupus	110	1990	0.814
Canis_lupus	111	1990	1.102
Canis_lupus	112	1990	0.818
Canis_lupus	113	1990	1.165
Rangifer_tarandus	131	1990	14
Odocoileus_virginianus	151	1990	2.35
Rangifer_tarandus	180	1990	78006
Alces_americanus	182	1990	130806
Rangifer_tarandus	788	1990	213
Rangifer_tarandus	789	1990	78319
Peromyscus_maniculatus	35	1991	104.17
Tamiasciurus_hudsonicus	36	1991	0.83
Myodes_gapperi	40	1991	28
Sorex_cinereus	44	1991	4
Napaeozapus_insignis	45	1991	28
Tamias_striatus	46	1991	41
Blarina_brevicauda	47	1991	2
Blarina_brevicauda	49	1991	4
Phoca_vitulina	67	1991	385
Megaptera_novaeangliae	88	1991	31.26
Balaenoptera_musculus	89	1991	2.93
Halichoerus_grypus	97	1991	61787
Canis_lupus	105	1991	1.247
Canis_lupus	106	1991	1.997
Canis_lupus	107	1991	1.79
Canis_lupus	108	1991	0.816
Canis_lupus	109	1991	0.743
Canis_lupus	110	1991	1.028
Canis_lupus	111	1991	0.607
Canis_lupus	112	1991	0.57
Canis_lupus	113	1991	1.386
Rangifer_tarandus	131	1991	20
Odocoileus_virginianus	151	1991	2.36
Rangifer_tarandus	180	1991	80509
Alces_americanus	182	1991	133756
Rangifer_tarandus	788	1991	181
Rangifer_tarandus	789	1991	80814
Myodes_gapperi	40	1992	66
Sorex_cinereus	44	1992	5
Napaeozapus_insignis	45	1992	45
Tamias_striatus	46	1992	54
Blarina_brevicauda	47	1992	9
Blarina_brevicauda	49	1992	6.5
Phoca_vitulina	67	1992	365
Megaptera_novaeangliae	88	1992	39.28
Balaenoptera_musculus	89	1992	22.94
Halichoerus_grypus	97	1992	70922
Canis_lupus	105	1992	1.193
Canis_lupus	106	1992	0.931
Canis_lupus	107	1992	1.345
Canis_lupus	108	1992	0.563
Canis_lupus	109	1992	0.255
Canis_lupus	110	1992	0.822
Canis_lupus	111	1992	0.845
Canis_lupus	112	1992	0.901
Canis_lupus	113	1992	0.681
Odocoileus_virginianus	151	1992	2.01
Rangifer_tarandus	180	1992	83011
Alces_americanus	182	1992	135693
Rangifer_tarandus	788	1992	149
Rangifer_tarandus	789	1992	83225
Myodes_gapperi	40	1993	106
Sorex_cinereus	44	1993	0
Napaeozapus_insignis	45	1993	29
Tamias_striatus	46	1993	89
Blarina_brevicauda	47	1993	24
Blarina_brevicauda	49	1993	13.6
Phoca_vitulina	67	1993	215
Balaenoptera_physalus	87	1993	0.06
Megaptera_novaeangliae	88	1993	33.17
Balaenoptera_musculus	89	1993	7.06
Megaptera_novaeangliae	90	1993	0.01
Halichoerus_grypus	97	1993	79576
Balaenoptera_musculus	99	1993	0
Globicephala_melas	102	1993	0.02
Lagenorhynchus_acutus	103	1993	0.12
Delphinus_delphis	104	1993	0.17
Canis_lupus	105	1993	0.962
Canis_lupus	106	1993	1.37
Canis_lupus	107	1993	1.937
Canis_lupus	108	1993	0.866
Canis_lupus	109	1993	0.509
Canis_lupus	110	1993	1.026
Canis_lupus	111	1993	0.627
Canis_lupus	112	1993	0.925
Canis_lupus	113	1993	1.307
Rangifer_tarandus	131	1993	14
Odocoileus_virginianus	151	1993	2.08
Rangifer_tarandus	180	1993	86141
Alces_americanus	182	1993	137881
Rangifer_tarandus	788	1993	147
Rangifer_tarandus	789	1993	87269
Myodes_gapperi	40	1994	69
Sorex_cinereus	44	1994	2
Napaeozapus_insignis	45	1994	49
Tamias_striatus	46	1994	45
Blarina_brevicauda	47	1994	3
Blarina_brevicauda	49	1994	7
Phoca_vitulina	67	1994	250
Balaenoptera_physalus	87	1994	0.01
Megaptera_novaeangliae	88	1994	24.05
Balaenoptera_musculus	89	1994	2.96
Megaptera_novaeangliae	90	1994	0.09
Halichoerus_grypus	97	1994	88710
Balaenoptera_musculus	99	1994	0
Globicephala_melas	102	1994	0.04
Lagenorhynchus_acutus	103	1994	0.06
Delphinus_delphis	104	1994	0.15
Canis_lupus	106	1994	1.181
Canis_lupus	108	1994	0.625
Canis_lupus	109	1994	0.456
Canis_lupus	110	1994	0.894
Canis_lupus	111	1994	0.704
Canis_lupus	112	1994	0.88
Odocoileus_virginianus	151	1994	2.31
Rangifer_tarandus	180	1994	89690
Alces_americanus	182	1994	140080
Rangifer_tarandus	788	1994	130
Rangifer_tarandus	789	1994	90706
Myodes_gapperi	40	1995	48
Sorex_cinereus	44	1995	4
Napaeozapus_insignis	45	1995	39
Tamias_striatus	46	1995	98
Blarina_brevicauda	47	1995	5
Blarina_brevicauda	49	1995	13
Phoca_vitulina	67	1995	210
Balaenoptera_physalus	87	1995	0
Megaptera_novaeangliae	88	1995	9.42
Balaenoptera_musculus	89	1995	2.96
Megaptera_novaeangliae	90	1995	0
Halichoerus_grypus	97	1995	99289
Balaenoptera_musculus	99	1995	0
Globicephala_melas	102	1995	0.17
Lagenorhynchus_acutus	103	1995	0
Delphinus_delphis	104	1995	0
Canis_lupus	105	1995	1.133
Canis_lupus	106	1995	0.761
Canis_lupus	107	1995	1.999
Canis_lupus	108	1995	0.607
Canis_lupus	109	1995	0.722
Canis_lupus	110	1995	0.48
Canis_lupus	111	1995	0.821
Canis_lupus	112	1995	1.268
Rangifer_tarandus	131	1995	6
Odocoileus_virginianus	151	1995	1.85
Alces_americanus	173	1995	295
Rangifer_tarandus	180	1995	91565
Alces_americanus	182	1995	142437
Rangifer_tarandus	788	1995	119
Rangifer_tarandus	789	1995	90778
Blarina_brevicauda	49	1996	2.9
Phoca_vitulina	67	1996	85
Balaenoptera_physalus	87	1996	0.02
Megaptera_novaeangliae	88	1996	31.06
Balaenoptera_musculus	89	1996	7.03
Megaptera_novaeangliae	90	1996	0.02
Halichoerus_grypus	97	1996	113240
Balaenoptera_musculus	99	1996	0.01
Globicephala_melas	102	1996	0.02
Lagenorhynchus_acutus	103	1996	0.09
Delphinus_delphis	104	1996	0.04
Canis_lupus	105	1996	1.024
Canis_lupus	106	1996	0.902
Canis_lupus	107	1996	2.152
Canis_lupus	108	1996	0.94
Canis_lupus	109	1996	0.868
Canis_lupus	110	1996	0.557
Canis_lupus	111	1996	0.661
Canis_lupus	112	1996	0.842
Rangifer_tarandus	131	1996	12
Odocoileus_virginianus	151	1996	2.59
Rangifer_tarandus	180	1996	93737
Alces_americanus	182	1996	146007
Rangifer_tarandus	788	1996	179
Rangifer_tarandus	789	1996	92403
Blarina_brevicauda	49	1997	7.8
Phoca_vitulina	67	1997	75
Balaenoptera_physalus	87	1997	0.04
Megaptera_novaeangliae	88	1997	56.11
Balaenoptera_musculus	89	1997	0
Megaptera_novaeangliae	90	1997	0.01
Halichoerus_grypus	97	1997	128150
Balaenoptera_musculus	99	1997	0.01
Globicephala_melas	102	1997	0.04
Lagenorhynchus_acutus	103	1997	0.14
Delphinus_delphis	104	1997	0.05
Canis_lupus	105	1997	0.914
Canis_lupus	106	1997	1.5
Canis_lupus	107	1997	2.487
Canis_lupus	108	1997	0.573
Canis_lupus	109	1997	0.446
Canis_lupus	110	1997	1.089
Canis_lupus	111	1997	1.002
Canis_lupus	112	1997	0.739
Rangifer_tarandus	131	1997	11
Odocoileus_virginianus	151	1997	2.22
Rangifer_tarandus	180	1997	92177
Alces_americanus	182	1997	149275
Rangifer_tarandus	788	1997	176
Rangifer_tarandus	789	1997	90106
Blarina_brevicauda	49	1998	15.9
Phoca_vitulina	67	1998	75
Balaenoptera_physalus	87	1998	0
Megaptera_novaeangliae	88	1998	53.41
Balaenoptera_musculus	89	1998	2.03
Megaptera_novaeangliae	90	1998	0.01
Halichoerus_grypus	97	1998	144020
Balaenoptera_musculus	99	1998	0.01
Globicephala_melas	102	1998	0.06
Lagenorhynchus_acutus	103	1998	0.12
Delphinus_delphis	104	1998	0.09
Odocoileus_virginianus	151	1998	2.68
Rangifer_tarandus	180	1998	90286
Alces_americanus	182	1998	149298
Rangifer_tarandus	788	1998	137
Rangifer_tarandus	789	1998	84769
Blarina_brevicauda	49	1999	3.7
Balaenoptera_physalus	87	1999	0.02
Megaptera_novaeangliae	88	1999	45.29
Balaenoptera_musculus	89	1999	0
Megaptera_novaeangliae	90	1999	0.01
Halichoerus_grypus	97	1999	158450
Balaenoptera_musculus	99	1999	0.02
Globicephala_melas	102	1999	0.07
Lagenorhynchus_acutus	103	1999	0.15
Delphinus_delphis	104	1999	0.15
Odocoileus_virginianus	151	1999	2.1
Rangifer_tarandus	180	1999	85884
Alces_americanus	182	1999	147955
Rangifer_tarandus	788	1999	96
Rangifer_tarandus	789	1999	79727
Megaptera_novaeangliae	88	2000	45.29
Balaenoptera_musculus	89	2000	2.99
Halichoerus_grypus	97	2000	178650
Odocoileus_virginianus	151	2000	2.35
Alces_americanus	173	2000	265
Rangifer_tarandus	180	2000	80437
Alces_americanus	182	2000	145273
Rangifer_tarandus	788	2000	126
Rangifer_tarandus	789	2000	74688
Balaenoptera_physalus	87	2001	0
Megaptera_novaeangliae	88	2001	56.11
Balaenoptera_musculus	89	2001	11.01
Megaptera_novaeangliae	90	2001	0
Halichoerus_grypus	97	2001	186820
Balaenoptera_musculus	99	2001	0
Globicephala_melas	102	2001	0.25
Lagenorhynchus_acutus	103	2001	0
Delphinus_delphis	104	2001	0
Odocoileus_virginianus	151	2001	2.51
Myodes_gapperi	178	2001	0
Myodes_gapperi	179	2001	0
Rangifer_tarandus	180	2001	74990
Alces_americanus	182	2001	141822
Myotis_lucifugus	580	2001	75
Rangifer_tarandus	788	2001	113
Rangifer_tarandus	789	2001	69649
Balaenoptera_physalus	87	2002	0
Megaptera_novaeangliae	88	2002	16.03
Balaenoptera_musculus	89	2002	5
Megaptera_novaeangliae	90	2002	0
Halichoerus_grypus	97	2002	198850
Balaenoptera_musculus	99	2002	0.04
Globicephala_melas	102	2002	0.14
Lagenorhynchus_acutus	103	2002	0
Delphinus_delphis	104	2002	0.04
Odocoileus_virginianus	151	2002	2.85
Myodes_gapperi	178	2002	4.6122
Myodes_gapperi	179	2002	0.9544
Rangifer_tarandus	180	2002	69543
Alces_americanus	182	2002	138653
Rangifer_tarandus	788	2002	156
Rangifer_tarandus	789	2002	64611
Balaenoptera_physalus	87	2003	0
Megaptera_novaeangliae	88	2003	56.21
Balaenoptera_musculus	89	2003	0.99
Megaptera_novaeangliae	90	2003	0
Halichoerus_grypus	97	2003	214240
Balaenoptera_musculus	99	2003	0.04
Globicephala_melas	102	2003	0.12
Lagenorhynchus_acutus	103	2003	0.04
Delphinus_delphis	104	2003	0
Odocoileus_virginianus	151	2003	1.6
Myodes_gapperi	178	2003	13.5908
Myodes_gapperi	179	2003	6.0373
Rangifer_tarandus	180	2003	64305
Alces_americanus	182	2003	135490
Rangifer_tarandus	788	2003	143
Rangifer_tarandus	789	2003	59573
Megaptera_novaeangliae	88	2004	36.07
Balaenoptera_musculus	89	2004	0
Halichoerus_grypus	97	2004	228670
Odocoileus_virginianus	151	2004	2.19
Myodes_gapperi	178	2004	1.4394
Myodes_gapperi	179	2004	0.9685
Rangifer_tarandus	180	2004	56974
Alces_americanus	182	2004	132609
Myotis_lucifugus	580	2004	200
Rangifer_tarandus	788	2004	160
Rangifer_tarandus	789	2004	53028
Balaenoptera_physalus	87	2005	0
Megaptera_novaeangliae	88	2005	64.23
Balaenoptera_musculus	89	2005	1.02
Megaptera_novaeangliae	90	2005	0
Halichoerus_grypus	97	2005	244540
